generated_at,records,views,unique_views,downloads,unique_downloads
2026-07-24T19:03:32+00:00,37,6684,5139,5197,4154
2026-07-25T00:39:09+00:00,37,6689,5144,5197,4154
2026-07-25T02:43:13+00:00,37,6690,5145,5201,4157
2026-07-25T03:22:10+00:00,37,6690,5145,5201,4157
2026-07-25T05:43:50+00:00,38,6753,5197,5240,4189
2026-07-26T15:54:32+00:00,38,6769,5211,5244,4193
2026-07-27T16:52:38+00:00,38,6774,5216,5244,4193
2026-07-28T16:28:19+00:00,38,6781,5223,5244,4193
2026-07-29T16:15:55+00:00,38,6787,5229,5244,4193
2026-07-30T16:20:25+00:00,38,6792,5234,5244,4193
2026-07-31T16:29:56+00:00,38,6793,5235,5247,4196
2026-08-01T15:52:27+00:00,38,6797,5239,5254,4203
2026-08-02T15:52:45+00:00,38,6799,5241,5263,4211
2026-08-03T17:04:14+00:00,38,6808,5250,5274,4219
2026-08-04T16:46:13+00:00,38,6890,5294,5283,4228
